date,open,high,low,close,adjclose,volume,ticker
2022-11-18,17310.31640625,17748.974609375,17301.052734375,17405.966796875,17405.966796875,177808013537,AVAX-KRW
2022-11-19,17407.345703125,17407.345703125,16827.17578125,17262.498046875,17262.498046875,135582991250,AVAX-KRW
2022-11-20,17262.19921875,17578.2890625,16256.3056640625,16344.0498046875,16344.0498046875,175666676601,AVAX-KRW
2022-11-21,16343.1865234375,16343.1865234375,15847.62109375,16091.857421875,16091.857421875,251314230080,AVAX-KRW
2022-11-22,16090.36328125,16710.912109375,15550.6923828125,16672.60546875,16672.60546875,258445794473,AVAX-KRW
2022-11-23,16675.7421875,17425.263671875,16675.7421875,17425.263671875,17425.263671875,263721167456,AVAX-KRW
2022-11-24,17423.37890625,17742.64453125,16993.779296875,17163.943359375,17163.943359375,208295814217,AVAX-KRW
2022-11-25,17162.96875,17338.4765625,16598.0859375,17132.94921875,17132.94921875,170797750245,AVAX-KRW
2022-11-26,17132.8046875,17645.490234375,16904.666015625,17031.5390625,17031.5390625,196842988183,AVAX-KRW
2022-11-27,17031.587890625,17686.474609375,16970.4453125,17197.7578125,17197.7578125,163742580068,AVAX-KRW
2022-11-28,17240.228515625,17323.916015625,16108.2216796875,16495.962890625,16495.962890625,227636379648,AVAX-KRW
